layer,width,seed,mse,sparsity,coherence,effective_rank,condition_number
4,4096,123,0.028089137747883797,0.98779296875,0.19063353538513184,749.0315551757812,2.491239070892334
2,8192,999,0.020142948254942894,0.993896484375,0.2031506597995758,758.74169921875,1.876176118850708
5,4096,999,0.03434228152036667,0.98779296875,0.20211586356163025,748.9765014648438,2.5002453327178955
10,16384,42,0.9035604000091553,0.9969482421875,0.2110975980758667,763.44873046875,1.5416147708892822
9,4096,999,0.2943841516971588,0.98779296875,0.202993705868721,748.9722290039062,2.5009617805480957
11,16384,42,2.602900981903076,0.9969482421875,0.21138378977775574,763.44873046875,1.5416333675384521
0,16384,999,0.08218688517808914,0.9969482421875,0.21762455999851227,763.43896484375,1.5466234683990479
0,8192,123,0.08093719929456711,0.993896484375,0.20683836936950684,758.74609375,1.866225004196167
9,8192,42,0.27055785059928894,0.993896484375,0.19716382026672363,758.7243041992188,1.8690241575241089
9,4096,123,0.2970485985279083,0.98779296875,0.18973946571350098,749.0279541015625,2.4912893772125244
11,8192,123,2.647505044937134,0.993896484375,0.20666562020778656,758.7453002929688,1.866289734840393
2,4096,123,0.021332331001758575,0.98779296875,0.19060660898685455,749.0315551757812,2.4897119998931885
10,16384,123,0.8991645574569702,0.9969481825828552,0.2006242722272873,763.4407348632812,1.552048921585083
5,4096,42,0.03356628119945526,0.98779296875,0.18935467302799225,748.961181640625,2.4890124797821045
8,16384,42,0.13781864941120148,0.9969482421875,0.2132319211959839,763.4498291015625,1.54229736328125
2,4096,42,0.020974045619368553,0.98779296875,0.18935467302799225,748.959716796875,2.489527940750122
3,16384,123,0.02224317565560341,0.9969482421875,0.2006242722272873,763.4421997070312,1.5518971681594849
9,8192,999,0.2730432152748108,0.993896484375,0.2029481828212738,758.740966796875,1.8775345087051392
5,8192,123,0.03209768608212471,0.993896484375,0.20683836936950684,758.7453002929688,1.866350769996643
11,4096,123,2.9010798931121826,0.98779296875,0.19128939509391785,749.0308227539062,2.4883763790130615
1,16384,123,0.02933685854077339,0.9969482421875,0.2006242722272873,763.4421997070312,1.5515592098236084
