layer,width,seed1,seed2,stability_score
8,8192,123,999,0.13300290703773499
7,8192,42,123,0.1329864114522934
0,8192,42,123,0.1329634040594101
7,8192,123,999,0.13298165798187256
7,4096,42,123,0.12628227472305298
8,8192,42,999,0.1328013837337494
8,16384,42,123,0.13909192383289337
7,16384,42,999,0.13903702795505524
10,8192,42,123,0.13303260505199432
5,8192,42,999,0.13277384638786316
2,8192,123,999,0.13295671343803406
9,4096,42,999,0.1263762265443802
0,16384,42,123,0.13906705379486084
0,4096,42,999,0.12628331780433655
9,16384,123,999,0.13904261589050293
10,4096,42,999,0.12639424204826355
6,16384,123,999,0.13902539014816284
7,16384,123,999,0.13903574645519257
10,16384,42,123,0.13910052180290222
2,4096,42,999,0.12628507614135742
1,8192,42,123,0.13295944035053253
1,16384,123,999,0.13902273774147034
5,16384,42,999,0.13903066515922546
6,16384,42,123,0.1390722692012787
9,16384,42,123,0.1390867978334427
9,8192,42,123,0.13302770256996155
11,4096,42,999,0.12633681297302246
6,4096,123,999,0.12639787793159485
1,8192,42,999,0.13276031613349915
9,16384,42,999,0.13904783129692078
1,16384,42,123,0.1390659362077713
2,8192,42,123,0.13296064734458923
10,4096,123,999,0.12647709250450134
6,16384,42,999,0.13903160393238068
0,4096,42,123,0.12620015442371368
5,16384,123,999,0.1390226185321808
4,8192,42,123,0.13296708464622498
3,4096,123,999,0.1263871192932129
10,16384,42,999,0.13905085623264313
4,4096,42,999,0.12629741430282593
3,16384,42,123,0.13906925916671753
6,4096,42,123,0.1262497901916504
10,16384,123,999,0.1390531212091446
1,8192,123,999,0.13295097649097443
4,4096,123,999,0.12638339400291443
8,4096,42,123,0.12630927562713623
11,8192,123,999,0.1329909861087799
8,4096,123,999,0.12647871673107147
8,16384,123,999,0.13904480636119843
4,16384,123,999,0.13902321457862854
4,8192,123,999,0.13295556604862213
0,8192,42,999,0.1327562779188156
8,8192,42,123,0.13302284479141235
3,16384,42,999,0.13902877271175385
9,8192,123,999,0.1330016851425171
1,4096,42,123,0.12620237469673157
8,16384,42,999,0.13905063271522522
5,4096,42,123,0.12623721361160278
0,8192,123,999,0.13295376300811768
7,16384,42,123,0.13907931745052338
2,4096,42,123,0.12620045244693756
6,8192,42,999,0.13277959823608398
5,4096,42,999,0.12631413340568542
6,8192,42,123,0.13297739624977112
7,4096,42,999,0.12635737657546997
4,8192,42,999,0.132768452167511
3,16384,123,999,0.13902240991592407
4,16384,42,123,0.139067605137825
6,8192,123,999,0.13296416401863098
2,16384,42,123,0.1390690803527832
0,4096,123,999,0.12637221813201904
5,8192,42,123,0.13297489285469055
3,8192,123,999,0.1329582780599594
6,4096,42,999,0.1263190507888794
11,16384,42,999,0.13903409242630005
0,16384,42,999,0.13902884721755981
7,8192,42,999,0.13279269635677338
1,4096,42,999,0.12628741562366486
11,4096,42,123,0.12624499201774597
1,16384,42,999,0.13902807235717773
5,16384,42,123,0.13907095789909363
4,16384,42,999,0.13902856409549713
9,8192,42,999,0.1327991932630539
3,4096,42,999,0.12630128860473633
9,4096,42,123,0.1263088583946228
7,4096,123,999,0.1264457404613495
1,4096,123,999,0.12638024985790253
10,8192,123,999,0.13302081823349
3,8192,42,999,0.13276918232440948
11,16384,42,123,0.13908401131629944
4,4096,42,123,0.12622585892677307
3,8192,42,123,0.13296636939048767
2,4096,123,999,0.12637464702129364
11,8192,42,999,0.13279518485069275
2,16384,42,999,0.1390269696712494
8,4096,42,999,0.12639102339744568
5,4096,123,999,0.12639929354190826
10,8192,42,999,0.13283298909664154
3,4096,42,123,0.12621958553791046
10,4096,42,123,0.12630411982536316
2,16384,123,999,0.13902324438095093
11,16384,123,999,0.13903842866420746
0,16384,123,999,0.13902294635772705
2,8192,42,999,0.13276678323745728
9,4096,123,999,0.12644848227500916
5,8192,123,999,0.1329568326473236
11,4096,123,999,0.1264326423406601
11,8192,42,123,0.13299906253814697
